word,definition,example
every,(used of count nouns) each and all of the members of a group considered singly and without exception.,every person is mortal
everybody,All people.,
everyday,Found in the ordinary course of events; ; ; - anita diamant.,a placid everyday scene
everyone,Every person.,
everything,All the things under discussion.,I checked the list again and everything is done.
everywhere,To or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere').,You find fast food stores everywhere
evidence,Your basis for belief or disbelief; knowledge on which to base belief.,the evidence that smoking causes lung cancer is very compelling
evident,Clearly revealed to the mind or the senses or judgment.,the effects of the drought are apparent to anyone who sees the parched fields
evidently,Unmistakably (`plain' is often used informally for `plainly').,the answer is obviously wrong
evil,Morally objectionable behavior.,"Evil lacks spirituality, hence its need for mind control."
evolution,A process in which something passes by degrees to a different stage (especially a more advanced or mature stage).,the development of his ideas took many years
evolve,Work out.,We have developed a new theory of evolution
exact,Claim as due or just.,The bank demanded payment of the loan
exactly,Indicating exactness or preciseness.,he was doing precisely (or exactly) what she had told him to do
exactness,The quality of being exact.,he demanded exactness in all details
exaggerate,To enlarge beyond bounds or the truth.,tended to romanticize and exaggerate this `gracious Old South' imagery
exaggeration,Extravagant exaggeration.,
exalt,"Praise, glorify, or honor.",extol the virtues of one's children
exam,A set of questions or exercises evaluating skill or knowledge.,when the test was stolen the professor had to make a new set of questions
examination,The act of examining something closely (as for mistakes).,
examine,Consider in detail and subject to an analysis in order to discover essential features or meaning.,analyze a sonnet by Shakespeare
examinee,Someone who is tested (as by an intelligence test or an academic examination).,
examiner,Someone who administers a test to determine your qualifications.,
example,An item of information that is typical of a class or group.,this patient provides a typical example of the syndrome
exceed,Be greater in scope or size than some standard.,Their loyalty exceeds their national bonds
excel,Distinguish oneself.,She excelled in math
excellence,The quality of excelling; possessing good qualities in high degree.,
excellent,Very good;of the highest quality.,made an excellent speech
except,Take exception to.,he demurred at my suggestion to work on Saturday
exception,A deliberate act of omission.,"with the exception of the children, everyone was told the news"
exceptional,Far beyond what is usual in magnitude or degree.,a night of exceeding darkness
exceptionally,To an exceptional degree.,it worked exceptionally well
excess,A quantity much larger than is needed.,The excess of heavy water was given away to the neighbouring country.
excessive,Beyond normal limits.,excessive charges
exchange,Chemical process in which one atom or ion or group changes places with another.,"All in all, it was an even exchange."
exchange rate,The amount of one currency that a person or institution defines as equivalent to another when either buying or selling it at any particular moment.,
excited,Arouse or elicit a feeling.,The fireworks which opened the festivities excited anyone present.
excitedly,With excitement; in an excited manner.,she shook his hand excitedly
excitement,The feeling of lively and cheerful joy.,he could hardly conceal his excitement when she agreed
exciting,Arouse or elicit a feeling.,The fireworks which opened the festivities excited anyone present.
exclaim,"Utter aloud; often with surprise, horror, or joy.",`I won!' he exclaimed
exclamation mark,"Punctuation mark “!” (used to denote excitement, surprise or shock).","The excessive use of exclamation marks devalues their effect, but is typical of concise genres such as cartoons, not reference works!"
exclude,Prevent from being included or considered or accepted.,The bad results were excluded from the report
exclusion,The state of being excluded.,
exclusive,A news report that is reported first by one news organization.,he got a scoop on the bribery of city officials
exclusively,Without any others being included or involved.,was entirely to blame
excursion,A journey taken for pleasure.,many summer excursions to the shore
excuse,A defense of some offensive behavior or some failure to keep a promise etc.,he kept finding excuses to stay
execute,Kill as a means of socially sanctioned punishment.,"In some states, criminals are executed"
execution,Putting a condemned person to death.,The mission's successful execution lifted the troops' morale.
executive,A person responsible for the administration of a business.,an executive officer
exercise,The activity of exerting your muscles in various ways to keep fit.,the doctor recommended regular exercise
exhaust,Gases ejected from an engine as waste products.,Moisture of the earth is exhausted by evaporation.
exhausted,Wear out completely.,This kind of work exhausts me
exhausting,Wear out completely.,This kind of work exhausts me
exhaustion,Extreme fatigue.,"We worked the mine to exhaustion, there's nothing left to extract."
exhibit,An object or statement produced before a court of law and referred to while giving evidence.,The museum's new exhibit is drawing quite a crowd.
exhibition,The act of exhibiting.,a remarkable exhibition of musicianship
exile,A person who is voluntarily absent from home or country.,American expatriates
exist,"Have an existence, be extant.",Is there a God?
existence,The state or fact of existing.,a point of view gradually coming into being
existing,"Have an existence, be extant.",Is there a God?
exit,An opening that permits escape or release.,he blocked the way out
exotic,Being or from or characteristic of another place or part of the world.,alien customs
expand,Extend in one or more directions.,The dough expands
expansion,The act of increasing (something) in size or volume or quantity or scope.,The expansion of metals and plastics in response to heat is well understood.
expect,Regard something as probable or likely.,The meteorologists are expecting rain for tomorrow
expectation,Belief about (or mental picture of) the future.,
expected,Regard something as probable or likely.,The meteorologists are expecting rain for tomorrow
expedition,A military campaign designed to achieve a specific objective in a foreign country.,a naval expedition
expense,Amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures).,"Buying the car was a big expense, but will be worth it in the long run."
expensive,High in price or charging high prices.,expensive clothes
experience,The accumulation of knowledge or skill that results from direct participation in events or activities.,a man of experience
experienced,Go or live through.,We had many trials to go through
experiment,The act of conducting a controlled test or investigation.,
expert,A person with special knowledge or ability who performs skillfully.,"We called in several experts on the subject, but they couldn't reach an agreement."
explain,Make plain and comprehensible.,He explained the laws of physics to his students
explanation,A statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,the explanation was very simple
explode,Cause to burst with a violent release of energy.,We exploded the nuclear bomb
exploit,A notable achievement.,he performed a great feat
exploration,To travel for the purpose of discovery.,The exploration of unknown areas was often the precursor to colonization.
explore,Inquire into.,the students had to research the history of the Second World War for their history project
explorer,Someone who travels into little known regions (especially for some scientific purpose).,
explosion,A violent release of energy caused by a chemical or nuclear reaction.,
explosive,A chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck.,an explosive device
export,Commodities (goods or services) sold to a foreign country.,Oil is the main export of Saudi Arabia.
expose,The exposure of an impostor or a fraud.,he published an expose of the graft and corruption in city government
express,Mail that is distributed by a rapid and efficient system.,I took the express into town.
expression,The feelings expressed on a person's face.,a sad expression
expressive,Characterized by expression.,a very expressive face
exquisite,Intense or sharp.,suffered exquisite pain
extend,Extend in scope or range or area.,The law was extended to all citizens
extension,A mutually agreed delay in the date set for the completion of a job or payment of a debt.,they applied for an extension of the loan
extensive,Large in spatial extent or range or scope or quantity.,an extensive Roman settlement in northwest England
extensively,In a widespread way.,oxidation ponds are extensively used for sewage treatment in the Midwest
extent,The point or degree to which something extends.,the extent of the damage
external,Outward features.,he enjoyed the solemn externals of religion
extinct,No longer in existence; lost or especially having died out leaving no living representatives.,an extinct species of fish
extinction,No longer active; extinguished.,the extinction of the volcano
extra,A minor actor in crowd scenes.,"Extra, extra! Read all about it!"
extract,A solution obtained by steeping or soaking a substance (usually in water).,I used an extract of Hemingway's book to demonstrate culture shock.
extraordinarily,Extremely.,she was inordinately smart
extraordinary,Beyond what is ordinary or usual; highly unusual or exceptional or remarkable.,extraordinary authority
extreme,The furthest or highest degree of something.,he carried it to extremes
extreme sports,,
extremely,To a high degree or extent; favorably or with much respect.,highly successful
exultant,Joyful and proud especially because of triumph or success.,rejoicing crowds filled the streets on VJ Day
eye,The organ of sight.,Bright lights really hurt my eyes.
eyebrow,The arch of hair above each eye.,
eyelash,Any of the short curved hairs that grow from the edges of the eyelids.,
eyelid,Either of two folds of skin that can be moved to cover or open the eye.,his lids would stay open no longer
eyesight,Normal use of the faculty of vision.,
fabric,Artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers.,the fabric in the curtains was light and semitransparent
fabulous,Extremely pleasing.,a fabulous vacation
face,The front of the human head from the forehead to the chin and ear to ear.,he washed his face
face to face,In person; directly; in the physical presence of somebody.,"He sounds intimidating over the phone, but if you meet him face to face you will find he is a friendly enough fellow."
face-to-face,In each other's presence.,a face-to-face encounter
facilitate,Make easier.,you could facilitate the process by sharing your knowledge
facilities,A building or place that provides a particular service or is used for a particular industry.,the assembly plant is an enormous facility
facility,A building or place that provides a particular service or is used for a particular industry.,the assembly plant is an enormous facility
fact,A piece of information about circumstances that exist or events that have occurred.,first you must collect all the facts of the case
factor,Anything that contributes causally to a result.,a number of factors determined the outcome
factory,A plant consisting of one or more buildings with facilities for manufacturing.,chicken factory; pig factory
faculty,One of the inherent cognitive or perceptual powers of the mind.,She transferred from the Faculty of Science to the Faculty of Medicine.
fade,A golf shot that curves to the right for a right-handed golfer.,he took lessons to cure his slicing
fail,Fail to do something; leave something undone.,She failed to notice that her child was no longer in his crib
failure,An act that fails.,his failure to pass the test
faint,A spontaneous loss of consciousness caused by insufficient blood to the brain.,She suffered another faint.
fair,A traveling show; having sideshows and rides and games of skill etc.,When will we learn to distinguish between the fair and the foul?
fairly,To a moderately sufficient extent or degree.,pretty big
fairy,"A small being, human in form, playful and having magical powers.",
faith,A strong belief in a supernatural power or powers that control human destiny.,he lost his faith but not his morality
faithful,Any loyal and steadfast following.,The faithful pray five times a day.
fake,Something that is a counterfeit; not what it seems to be.,to fake a marriage
fall,The season when the leaves fall from the trees.,in the fall of 1973
fallen,Descend in free fall under the influence of gravity.,The branch fell from the tree
false,Not in accordance with the fact or reality or actuality.,gave false testimony under oath
falter,The act of pausing uncertainly.,there was a hesitation in his speech
fame,The state or quality of being widely honored and acclaimed.,
familiar,A person attached to the household of a high official (as a pope or bishop) who renders service in return for support.,The witch’s familiar was a black cat.
familiarize/familiarise,Make familiar or conversant with.,you should acquaint yourself with your new computer
family,A social unit living together.,he moved his family to Virginia
famous,Widely known and esteemed.,a famous actor
fan,A device for creating a current of air by movement of a surface or surfaces.,"We enjoyed standing at the edge of the cliff, being fanned by the wind."
fancy,Something many people believe that is false.,they have the illusion that I am very wealthy
fantastic,Ludicrously odd.,Hamlet's assumed antic disposition
fantastically,Exceedingly; extremely.,she plays fabulously well
fantasy,Imagination unrestricted by reality.,a schoolgirl fantasy
far,A terrorist organization that seeks to overthrow the government dominated by tutsi and to institute hutu control again.,in 1999 ALIR guerrillas kidnapped and killed eight foreign tourists
faraway,Very far away in space or time.,faraway mountains
fare,An agenda of things to do.,they worked rapidly down the menu of reports
farewell,An acknowledgment or expression of goodwill at parting.,a farewell discourse;  the band's farewell tour
farm,Workplace consisting of farm buildings and cultivated land as a unit.,it takes several people to work the farm
farmer,A person who operates a farm.,a farmer of the revenues
farming,The practice of cultivating the land or raising stock.,to farm the taxes
farmland,A rural area where farming is practiced.,
farther,More distant in especially space or time.,they live in the farther house
farthest,(comparatives of `far') most remote in space or time or order.,had traveled to the farthest frontier
fascinate,Cause to be interested or curious.,The flickering TV fascinated the cat.
fascinated,Cause to be interested or curious.,The flickering TV fascinated the cat.
fascinating,Cause to be interested or curious.,The flickering TV fascinated the cat.
fascination,The state of being intensely interested (as by awe or terror).,"To my fascination, the skies turned all kinds of colours."
fashion,How something is done or how it happens.,her dignified manner
fashionable,Being or in accordance with current social fashions.,fashionable clothing
fast,Abstaining from food.,That rope is dangerously loose. Make it fast!
fast food,"Food that is served quickly, often standardized and pre-prepared.",
fasten,Cause to be firmly attached.,fasten the lock onto the door
fat,A soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides).,pizza has too much fat
fatal,Bringing death.,a fatal wound; a fatal disease; that fatal day; a fatal mistake
fate,An event (or a course of events) that will inevitably happen in the future.,Accept your fate.
father,A male parent (also used as a term of address to your father).,his father was born in Atlanta
father-in-law,The father of your spouse.,
fault,A wrong action attributable to bad judgment or ignorance or inattention.,he made a bad mistake
faulty,Having a defect.,I returned the appliance because it was defective
favor/favour,An act of gracious kindness.,He did me a favor when he took the time to drive me home.
favorable/favourable,Encouraging or approving or pleasing.,a favorable reply
favorite/favourite,Something regarded with special favor or liking.,that book is one of my favorites
fax,Duplicator that transmits the copy by wire or radio.,
fear,An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight).,He was struck by fear on seeing the snake.
fearsome,Causing fear or dread or terror.,the awful war
feast,A ceremonial dinner party for many people.,We had a feast to celebrate the harvest.
feat,A notable achievement.,he performed a great feat
feather,The light horny waterproof structure forming the external covering of birds.,The stylist feathered my hair.
feature,A prominent attribute or aspect of something.,the map showed roads and other features
February,The month following january and preceding march.,
fed up,"Frustrated, annoyed, tired.","After two days, I am fed up with this nonsense."
federal,A member of the union army during the american civil war.,
fee,A fixed charge for a privilege or for professional services.,
feed,Food for domestic livestock.,"They sell feed, riding helmets, and everything else for horses."
feedback,The process in which part of the output of a system is returned to its input in order to regulate its further output.,"After you hand in your essays, I will give both grades and feedback."
feel,An intuitive awareness;  or.,he has a feel for animals
feeling,The experiencing of affective and emotional states.,she had a feeling of euphoria
fellow,A boy or man.,that chap is your host
female,An animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa).,"female authors, the leading male and female artists, a female bird cooing at a male, intersex female patients, a trans female vlogger"
fence,A barrier that serves to enclose an area.,
ferry,A boat that transports people or vehicles across a body of water and operates on a regular schedule.,Trucks plowed through the water to ferry flood victims to safety.
ferryboat,A boat that transports people or vehicles across a body of water and operates on a regular schedule.,
festival,A day or period of time set aside for feasting and celebration.,
festive,Offering fun and gaiety.,a festive (or festal) occasion
fetch,The action of fetching.,"If you put some new tyres on it, and clean it up a bit, the car should fetch about $5,000"
fever,A rise in the temperature of the body; frequently a symptom of infection.,"""I have a fever. I think I've the flu."""
feverishly,In a feverish manner.,she worked feverishly
few,A small elite group.,it was designed for the discriminating few
fiber/fibre,A slender and greatly elongated substance capable of being spun into yarn.,The microscope showed a single blue fiber stuck to the sole of the shoe.
fiction,A literary work based on the imagination and not necessarily on fact.,I am a great reader of fiction.
fictional,Related to or involving literary fiction.,clever fictional devices
field,A piece of land cleared of trees and usually enclosed.,he planted a field of wheat
fierce,Marked by extreme and violent energy.,a ferocious beating
fifteen,The cardinal number that is the sum of fourteen and one.,
fifth,A quantity of liquor equal to one fifth of a united states gallon.,
fifty,The cardinal number that is the product of ten and five.,Do you want small bills or are fifties OK?
fight,A hostile meeting of opposing military forces in the course of a war.,Grant won a decisive victory in the battle of Chickamauga
fighter,Someone who fights (or is fighting).,
fighting,The act of fighting; any contest or struggle.,a fight broke out at the hockey game
figurative,(used of the meanings of words or text) not literal; using figures of speech.,figurative language
figure,A diagram or picture illustrating textual material.,the area covered can be seen from Figure 2
file,A set of related records (either written or electronic) kept together.,I'm going to delete these unwanted files to free up some disk space.
filial,Designating the generation or the sequence of generations following the parental generation.,
fill,A quantity sufficient to satisfy.,he ate his fill of potatoes
filling,Any material that fills a space or container.,there was not enough fill for the trench
film,A form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement.,they went to a movie every Saturday night
film-maker,A producer or director of films/movies.,
filter,Device that removes something from whatever passes through it.,He runs an email filter to catch the junk mail.
final,The final match between the winners of all previous matches in an elimination tournament.,final solution;   the final day of a school term
finally,After an unspecified period of time or an especially long delay.,"The contest was long, but the Romans finally conquered."
finance,The commercial activity of providing funds and capital.,Who's really in charge of a democracy's finances?
financial,Involving financial matters.,fiscal responsibility
financially,From a financial point of view.,this was financially unattractive
find,A productive insight.,I found my car keys. They were under the couch.
finding,"The act of determining the properties of something, usually by research or calculation.",the determination of molecular structures
fine,Money extracted as a penalty.,They filtered silt and fines out of the soil.
finely,In tiny pieces.,the surfaces were finely granular
finger,Any of the terminal members of the hand (sometimes excepting the thumb).,her fingers were long and thin
fingernail,The nail at the end of a finger.,
finish,A decorative texture or appearance of a surface (or the substance that gives it that appearance).,the boat had a metallic finish
fire,The event of something burning (often destructive).,they lost everything in the fire
fire brigade,"A group of people within a corporation or industrial site, organized for the purpose of putting out fires, usually in addition to their normal job.",
fire station,The building where firefighters and fire trucks/fire engines are housed when not answering an alarm.,
firearm,A portable gun.,he wore his firearm in a shoulder holster
firefighter,A member of a fire department who tries to extinguish fires.,
fireplace,An open recess in a wall at the base of a chimney where a fire can be built.,the fireplace was so large you could walk inside it
firework,(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.,Commercial firework displays are commonly launched from boats or other vessels
firm,The members of a business organization that owns or operates one or more establishments.,he worked for a brokerage house
firmly,With resolute determination.,we firmly believed it
firmness,The muscle tone of healthy tissue.,his muscular firmness
first,The first or highest in an ordering or series.,He wanted to be the first
first floor,The floor of a building at the level of the street or surrounding ground; the ground floor.,
first lady,The wife (or woman of similar rank) of a male chief executive of a nation; especially the wife of the President of a country.,
first language,The first language one is taught to speak; one's native language.,"She was born and raised in France, although her first language is Portuguese because her parents are from Brazil."
first name,The first element of a full name in cultures that place the given name first.,
first person,(grammar) Forms of pronouns or verbs used for the speaker or writer of the sentence in which they occur.,"""Am"" is the first person singular of ""to be""."
first-floor,The floor of a building at the level of the street or surrounding ground; the ground floor.,
firstly,Before anything else.,first we must consider the garter snake
fiscal,Involving financial matters.,fiscal responsibility
fish,Any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills.,the shark is a large fish
fisherman,Someone whose occupation is catching fish.,
fishing,The act of someone who fishes as a diversion.,We had a good day's fishing at the weekend.
fit,A display of bad temper.,he had a fit
fitness,The quality of being suitable.,they had to prove their fitness for the position
five,The cardinal number that is the sum of four and one.,He wrote a five followed by four zeroes.
fix,Informal terms for a difficult situation.,he got into a terrible fix
fixed,Restore by replacing a part or putting together what is torn or broken.,She repaired her TV set
flag,Emblem usually consisting of a rectangular piece of cloth of distinctive design.,Please flag down a taxi for me.
flame,The process of combustion of inflammable materials producing heat and light and (often) smoke.,fire was one of our ancestors' first discoveries
flap,Any broad thin and limber covering attached at one edge; hangs loose or projects freely.,he wrote on the flap of the envelope
flash,A sudden intense burst of radiant energy.,I just got my first commando flash.
flat,A level tract of land.,the salt flats of Utah
flavor/flavour,The general atmosphere of a place or situation and the effect that it has on people.,the feel of the city excited him
flaw,An imperfection in an object or machine.,a flaw caused the crystal to shatter
flawless,Without a flaw.,a flawless gemstone
flax,Fiber of the flax plant that is made into thread and woven into linen fabric.,
flea,Any wingless bloodsucking parasitic insect noted for ability to leap.,
flee,Run away quickly.,He threw down his gun and fled
fleet,Group of aircraft operating together under the same ownership.,
flesh,The soft tissue of the body of a vertebrate: mainly muscle tissue and fat.,
flexibility,The property of being flexible; easily bent or shaped.,I had some flexibility in terms of whether to stay in a hotel or in a bed-and-breakfast.
flexible,Capable of being changed.,flexible schedules
flexibly,With flexibility.,"`Come whenever you are free,' he said flexibly"
flight,A formation of aircraft in flight.,Most birds are capable of flight.
flip,An acrobatic feat in which the feet roll over the head (either forward or backward) and return.,The diver did a couple of flips before landing in the pool.
float,The time interval between the deposit of a check in a bank and its payment.,"Attach the float and the weight to the fishing line, above the hook."
flock,A church congregation guided by a pastor.,People flocked to the cinema to see the new film.
flood,The rising of a body of water and its overflowing onto normally dry land.,plains fertilized by annual inundations
floor,"The inside lower horizontal surface (as of a room, hallway, tent, or other structure).",they needed rugs to cover the bare floors
flour,Fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain.,mustard flour
flow,The motion characteristic of fluids (liquids or gases).,The notion of flow is basic to the study of ordinary differential equations.
flower,A plant cultivated for its blooms or blossoms.,We transplanted the flowers to a larger pot.
flu,An acute febrile highly contagious viral disease.,
fluency,Powerful and effective language.,his eloquence attracted a large congregation
fluent,Smooth and unconstrained in movement.,"a long, smooth stride"
fluently,In a fluent manner.,she speaks French fluently
fluid,A substance that is fluid at room temperature and pressure.,
flunk,Failure to reach a minimum required performance.,his failing the course led to his disqualification
flute,A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown.,
flutter,The act of moving back and forth.,the flutter of a fan
fly,Two-winged insects characterized by active flight.,
focus,The concentration of attention or energy on something.,the focus of activity shifted to molecular biology
fog,Droplets of water vapor suspended in the air near the ground.,"He did so many drugs, he was still in a fog three months after going through detox."
foggy,Stunned or confused and slow to react (as from blows or drunkenness or exhaustion).,He was still foggy with sleep.
fold,An angular or rounded shape made by folding.,a fold in the napkin
folder,A small book usually having a paper cover.,I keep all my schoolwork in a yellow folder.
folk,People in general (often used in the plural).,they're just country folk
follow,"To travel behind, go after, come after.",The ducklings followed their mother around the pond
follower,A person who accepts the leadership of another.,"I have over 50 followers on Twitter, but all my tweets only get 10 likes."
following,A group of followers or enthusiasts.,Follow that car!
folly,The trait of acting stupidly or rashly.,It'd be folly.
fond,Having or displaying warmth or affection.,affectionate children
fondly,With fondness; with love.,she spoke to her children fondly
fondness,A predisposition to like something.,he had a fondness for whiskey
food,Any substance that can be metabolized by an animal to give energy and build tissue.,The innkeeper brought them food and drink.
fool,A person who lacks good judgment.,The village fool threw his own shoes down the well.
foolish,Devoid of good sense or judgment.,foolish remarks
foolishly,Without good sense or judgment.,He acted foolishly when he agreed to come
foot,The part of the leg of a human being below the ankle joint.,his bare feet projected from his trousers
football,Any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal.,Roman and medieval football matches were more violent than any modern type of football.
footballer,An athlete who plays american football.,
footnote,A printed note placed below the text on a printed page.,consult the footnotes for more details
for,,
forbid,Command against.,I forbid you to call me late at night
forbidden,Command against.,I forbid you to call me late at night
force,A powerful effect or influence.,the force of his eloquence easily persuaded them
forcefully,With full force.,we are seeing this film too late to feel its original impact forcefully
forecast,A prediction about how something (as the weather) will develop.,to forecast a rise in prices
forehead,The part of the face above the eyes.,
foreign,Of concern to or concerning the affairs of other nations (other than your own).,foreign trade
foreigner,A person who comes from a foreign country; someone who does not owe allegiance to your country.,
foreman,A person who exercises control over workers.,if you want to leave early you have to ask the foreman
foresee,Realize beforehand.,
forest,The trees and other plants in a large densely wooded area.,a forest of criticism
forestry,The science of planting and caring for forests and the management of growing timber.,
forever,For a limitless time; ; - p.p.bliss.,no one can live forever
forget,Dismiss from the mind; stop remembering.,I tried to bury these unpleasant memories
forgive,Stop blaming or grant forgiveness.,I forgave him his infidelity
fork,Cutlery used for serving and eating food.,West Fork White River and East Fork White River join together to form the White River of Indiana.
form,The phonological or orthographic sound or appearance of a word that can be used to describe or identify something.,the inflected forms of a word can be represented by a stem and a list of inflections to be attached
formal,A lavish dance requiring formal attire.,Jenny took Sam to her Year 12 formal.
formally,With official authorization.,the club will be formally recognized
format,The organization of information according to preset specifications (usually for computer processing).,The radio station changed the format of its evening program.
formation,An arrangement of people or things acting as a unit.,a defensive formation
former,The first of two or the first mentioned of two.,Tom and Dick were both heroes but only the former is remembered today
formerly,At a previous time.,at one time he loved her
formidable,Extremely impressive in strength or excellence.,a formidable opponent
formula,A group of symbols that make a mathematical statement.,H2O is the formula for water.
forth,A river in southern scotland that flows eastward to the firth of forth.,The plants in spring put forth leaves.
forthcoming,At ease in talking to others.,I shall vote in the forthcoming election.
fortnight,A period of fourteen consecutive days.,most major tennis tournaments last a fortnight
fortunate,Having unexpected good fortune.,"other, less fortunate, children died"
fortunately,By good fortune.,fortunately the weather was good
fortune,An unknown and unpredictable phenomenon that causes an event to result one way rather than another.,bad luck caused his downfall
forty,The cardinal number that is the product of ten and four.,
forward,"The person who plays the position of forward in certain games, such as basketball, soccer, or hockey.",I'll be glad to forward your mail to you while you're gone.
foul,An act that violates the rules of a sport.,A ship's bottom is foul when overgrown with barnacles
found,Food and lodging provided in addition to money.,they worked for $30 and found
foundation,The basis on which something is grounded.,there is little foundation for his objections
fountain,A structure from which an artificially produced jet of water arises.,Lava fountained from the volcano.
four,The cardinal number that is the sum of three and one.,Do you have any more fours? I want to make this a little taller.
fourteen,The cardinal number that is the sum of thirteen and one.,
fox,Alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs.,The quick brown fox jumps over the lazy dog.
fragment,A piece broken off or cut off of something else.,a fragment of rock
fragrance,A distinctive odor that is pleasant.,
frame,The framework for a pair of eyeglasses.,"Now that the frame is complete, we can start on the walls."
frank,A member of the ancient germanic peoples who spread from the rhine into the roman empire in the 4th century.,May I be frank with you?
frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that.,"honestly, I don't believe it"
frantically,In an uncontrolled manner.,she fought back madly
fraud,Intentional deception resulting in injury to another person.,
freak,A person or animal that is markedly unusual or deformed.,a freak genius
free,People who are free.,the home of the free and the brave
freedom,The condition of being free; the power to act or speak or think without externally imposed restraints.,"Having recently been released from prison, he didn't know what to do with his newfound freedom."
freely,In a free manner.,the painting featured freely brushed strokes
freeze,The withdrawal of heat to change something from a liquid to a solid.,The lake froze solid.
freezer,Electric refrigerator (trade name deepfreeze) in which food is frozen and stored for long periods of time.,
freezing,The withdrawal of heat to change something from a liquid to a solid.,The lake froze solid.
frequency,The number of occurrences within a given time period.,the frequency of modulation was 40 cycles per second
frequent,Do one's shopping at; do business with; be a customer or client of.,I am a frequent visitor to that city.
frequently,Many times at short intervals.,we often met over a cup of coffee
fresh,"Recently made, produced, or harvested.",fresh bread
freshman,A first-year undergraduate.,"At the time I was a wide-eyed freshman, but I was soon to grow jaded and cynical."
Friday,The sixth day of the week; the fifth working day.,
fridge,A refrigerator in which the coolant is pumped around by an electric motor.,
fried,Be excessively hot.,"If the children stay out on the beach for another hour, they'll be fried"
friend,A person you know well and regard with affection and trust.,he was my best friend at the university
friendliness,A feeling of liking for another person; enjoyment in their company.,
friendly,Troops belonging to or allied with your own military forces.,friendlies came to their rescue
friendship,The state of being friends (or friendly).,
frigate,A medium size square-rigged warship of the 18th and 19th centuries.,
fright,An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight).,
frighten,Cause fear in.,The stranger who hangs around the building frightens me
frightened,Cause fear in.,The stranger who hangs around the building frightens me
frightening,The act of inspiring with fear.,"Avery puts a sheet over her head, pretending to be a ghost to frighten Emily."
frog,Any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species.,
from,Used to indicate source or provenance.,I got a letter from my brother.
front,The side that is forward or prominent.,"Officially it's a dry-cleaning shop, but everyone knows it's a front for the mafia."
frontier,A wilderness at the edge of a settled area of a country.,the individualism of the frontier in Andrew Jackson's day
frost,Ice crystals forming a white deposit (especially on objects outside).,I think the boss's decision frosted him a bit.
frozen,Stop moving or become immobilized.,When he saw the police car he froze
frugal,Avoiding waste.,an economical meal
fruit,The ripened reproductive body of a seed plant.,His long nights in the office eventually bore fruit when his business boomed and he was given a raise.
frustrated,"Hinder or prevent (the efforts, plans, or desires) of.",What ultimately frustrated every challenger was Ruth's amazing September surge
frustration,The feeling that accompanies an experience of being thwarted in attaining your goals.,
fry,English painter and art critic (1866-1934).,to be in a fry
frying pan,"A long-handled, shallow pan used for frying food.",
fuel,A substance that can be consumed to produce energy.,more fuel is needed during the winter months
fulfill/fulfil,Put in effect.,carry out a task
full,The time when the moon is fully illuminated.,the moon is at the full
full stop,The punctuation mark “.” (indicating the end of a sentence or marking an abbreviation).,"We need more people to join IRC, full stop."
full-time,For the entire time appropriate to an activity.,a full-time job
fully,To the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form).,fully grown
fume,A cloud of fine particles suspended in a gas.,Don't stand around in there breathing the fumes while the adhesive cures.
fun,Activities that are enjoyable or amusing.,I do it for the fun of it
function,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function).,
functional,Designed for or capable of a particular function or use.,a style of writing in which every word is functional
functionality,Capable of serving a purpose well.,software with greater functionality
fund,A reserve of money set aside for some purpose.,a fund for the maintenance of underprivileged students
fundamental,Any factor that could be considered important to the understanding of a particular business.,"fundamentals include a company's growth, revenues, earnings, management, and capital structure"
funeral,A ceremony at which a dead person is buried or cremated.,hundreds of people attended his funeral
funk,A state of nervous depression.,he was in a funk
funky,Offensively malodorous.,a foul odor
funny,An account of an amusing incident (usually with a punch line).,she told a funny story
fur,The dressed hairy coat of a mammal.,
furious,Marked by extreme and violent energy.,a ferocious beating
furiously,(of the elements) in a wild and stormy manner.,winds were blowing furiously
furnish,Give something useful or necessary to.,We provided the room with an electrical heater
furniture,Furnishings that make a room or other area ready for occupancy.,they had too much furniture for the small apartment
furor/furore,An interest followed with exaggerated zeal.,he always follows the latest fads
